Cluster_size,Cluster_count,cell_type,alpha,grid_size,growth_rate_C,fractal_dim,condi_entropy,autocorr
92.0,1.0,3.0,1.0,200,0.001,1.425227045342224,11.573881499173762,0.201871313077771
147.0,1.0,3.0,1.0,200,0.001,1.425227045342224,11.573881499173762,0.201871313077771
257.0,1.0,3.0,1.0,200,0.001,1.425227045342224,11.573881499173762,0.201871313077771
260.0,1.0,3.0,1.0,200,0.001,1.425227045342224,11.573881499173762,0.201871313077771
900.0,1.0,3.0,1.0,200,0.001,1.425227045342224,11.573881499173762,0.201871313077771
1.0,928.0,1.0,1.0,400,0.001,1.5683282422249767,14.351178047347673,0.20181528393011486
2.0,86.0,1.0,1.0,400,0.001,1.5683282422249767,14.351178047347673,0.20181528393011486
3.0,13.0,1.0,1.0,400,0.001,1.5683282422249767,14.351178047347673,0.20181528393011486
4.0,5.0,1.0,1.0,400,0.001,1.5683282422249767,14.351178047347673,0.20181528393011486
5.0,2.0,1.0,1.0,400,0.001,1.5683282422249767,14.351178047347673,0.20181528393011486
6.0,2.0,1.0,1.0,400,0.001,1.5683282422249767,14.351178047347673,0.20181528393011486
8.0,1.0,1.0,1.0,400,0.001,1.5683282422249767,14.351178047347673,0.20181528393011486
40.0,1.0,1.0,1.0,400,0.001,1.5683282422249767,14.351178047347673,0.20181528393011486
68.0,1.0,1.0,1.0,400,0.001,1.5683282422249767,14.351178047347673,0.20181528393011486
78.0,1.0,1.0,1.0,400,0.001,1.5683282422249767,14.351178047347673,0.20181528393011486
111.0,1.0,1.0,1.0,400,0.001,1.5683282422249767,14.351178047347673,0.20181528393011486
112.0,1.0,1.0,1.0,400,0.001,1.5683282422249767,14.351178047347673,0.20181528393011486
232.0,1.0,1.0,1.0,400,0.001,1.5683282422249767,14.351178047347673,0.20181528393011486
398.0,1.0,1.0,1.0,400,0.001,1.5683282422249767,14.351178047347673,0.20181528393011486
461.0,1.0,1.0,1.0,400,0.001,1.5683282422249767,14.351178047347673,0.20181528393011486
466.0,1.0,1.0,1.0,400,0.001,1.5683282422249767,14.351178047347673,0.20181528393011486
553.0,1.0,1.0,1.0,400,0.001,1.5683282422249767,14.351178047347673,0.20181528393011486
581.0,1.0,1.0,1.0,400,0.001,1.5683282422249767,14.351178047347673,0.20181528393011486
628.0,1.0,1.0,1.0,400,0.001,1.5683282422249767,14.351178047347673,0.20181528393011486
651.0,1.0,1.0,1.0,400,0.001,1.5683282422249767,14.351178047347673,0.20181528393011486
659.0,1.0,1.0,1.0,400,0.001,1.5683282422249767,14.351178047347673,0.20181528393011486
